                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.5052,                 2.3356,                 2.1333,                0.61849,                0.41215,                 0.6414,                0.30638,                 2.5551,                 3.0184,                 1.9176,             0.00037118,             0.00037118,             0.00037118
                     86,                 2.5167,                  2.333,                 2.0783,                0.63553,                0.33238,                0.44148,                0.17103,                 2.6324,                 5.6464,                  2.045,             0.00036569,             0.00036569,             0.00036569
                     87,                 2.5066,                 2.3155,                 2.0596,                 0.7725,                0.24891,                0.49808,                0.17724,                 2.7559,                 2.3066,                 1.9927,             0.00036019,             0.00036019,             0.00036019
                     88,                   2.36,                 2.1916,                 1.9429,                0.69801,                0.43995,                0.62974,                0.28041,                 2.5894,                 2.1328,                 1.9327,             0.00035469,             0.00035469,             0.00035469
                     89,                 2.4375,                  2.202,                 2.0271,                0.57366,                0.54953,                0.65441,                0.32635,                 2.5048,                 2.2312,                 1.8642,             0.00034919,             0.00034919,             0.00034919
                     90,                  2.457,                 2.2807,                 1.9906,                0.55402,                0.41398,                0.53514,                0.24078,                 2.6335,                 2.7522,                 1.9661,              0.0003437,              0.0003437,              0.0003437
                     91,                 2.4935,                 2.1836,                 1.9288,                0.71863,                0.33238,                 0.3788,                0.14917,                 2.7458,                 3.6955,                 2.0898,              0.0003382,              0.0003382,              0.0003382
                     92,                 2.4256,                 2.1167,                 1.9711,                  0.574,                0.68777,                0.65702,                0.33432,                 2.4874,                 2.0939,                 1.8702,              0.0003327,              0.0003327,              0.0003327
                     93,                  2.446,                 2.2605,                 2.0719,                0.44684,                0.70403,                0.70792,                0.34511,                 2.4933,                 2.0372,                  1.874,              0.0003272,              0.0003272,              0.0003272
                     94,                 2.3279,                 2.1262,                 2.0029,                0.52467,                0.65824,                 0.6714,                0.35119,                 2.4745,                 2.2622,                 1.8835,              0.0003217,              0.0003217,              0.0003217
                     95,                 2.3592,                 2.1079,                 2.0395,                0.49086,                0.68374,                0.67994,                 0.3453,                 2.4596,                 2.9393,                 1.8606,             0.00031621,             0.00031621,             0.00031621
                     96,                 2.3168,                 2.1229,                 2.0053,                0.51587,                0.73141,                0.65703,                0.33676,                 2.5601,                  2.056,                 1.8558,             0.00031071,             0.00031071,             0.00031071
                     97,                 2.4789,                 2.2212,                 2.0371,                 0.5399,                0.70625,                0.66211,                0.28788,                 2.5536,                 2.2716,                 1.8752,             0.00030521,             0.00030521,             0.00030521
                     98,                 2.2481,                 1.9884,                 1.9773,                0.68878,                0.66243,                0.70987,                0.36331,                 2.4391,                 1.9709,                  1.813,             0.00029971,             0.00029971,             0.00029971
                     99,                 2.3061,                  2.043,                 1.9829,                0.60148,                0.70194,                0.71893,                0.32465,                 2.4861,                 2.1921,                 1.8418,             0.00029422,             0.00029422,             0.00029422
                    100,                 2.3712,                 2.0743,                 1.9797,                0.64415,                0.63654,                0.67466,                0.28312,                 2.5205,                 2.1449,                  1.867,             0.00028872,             0.00028872,             0.00028872
                    101,                 2.3063,                 2.0317,                 1.9204,                0.44639,                0.54435,                0.58832,                0.27477,                 2.4837,                 2.7866,                 1.8928,             0.00028322,             0.00028322,             0.00028322
                    102,                 2.3929,                 2.1063,                 1.9388,                0.66937,                0.64642,                0.68369,                0.31786,                 2.4647,                 2.1896,                 1.8454,             0.00027772,             0.00027772,             0.00027772
                    103,                 2.3647,                 2.0519,                 1.9079,                0.68754,                0.64275,                0.68184,                0.34268,                 2.4986,                 2.1214,                 1.8656,             0.00027222,             0.00027222,             0.00027222
                    104,                  2.398,                 2.1565,                 1.9461,                0.75115,                0.65725,                0.70323,                0.31526,                 2.4749,                 2.0959,                 1.8516,             0.00026673,             0.00026673,             0.00026673
